Ensembl_id                BasalPD39  	BasalPD36	  BasalPD33	  BasalPD30	  BasalPD27	  PDTrain21	  PDTrain17	   PDTrain13	  PDTrain09 	PDTrain05
ENSG00000116991	212.4901768	163.4934922	196.3438001	292.1170368	238.3215085	330.4426016	979.0368327	470.1611613	710.8642586	1130.255171
ENSG00000242114	42.67220764	25.54585815	35.34188401	32.87490768	18.73269499	92.46329679	79.09249522	86.00509047	81.49410699	85.68063394
ENSG00000134871	984.0733598	1025.921663	1298.814237	1640.927535	1371.649556	2303.245565	3787.889231	1917.50397	5433.595037	2791.001076
ENSG00000119125	89.69872218	29.63319546	23.56125601	45.08558767	78.05289581	6.821062878	11.75699253	4.914576599	16.69156408	5.468976635
ENSG00000047662	231.6491272	82.76858042	372.0715011	125.8639322	150.9022652	37.13689789	66.26668519	43.41209329	37.31055501	63.8047274
ENSG00000138411	47.89737592	82.76858042	59.88485902	48.84271998	41.6282111	117.4738607	134.6710054	119.5880306	124.6958023	80.21165731
ENSG00000187498	766.3580147	909.4325503	999.3899424	1388.260387	827.3606956	1813.64483	3496.102052	1438.332751	4477.266601	2178.475693
ENSG00000179044	27.86756417	18.39301787	41.23219801	53.53913536	32.2618636	61.3895659	87.64303525	64.70859188	108.9860949	60.15874298
ENSG00000078549	25.25498003	22.48035518	43.19563602	10.33211384	21.85481083	49.26323189	51.30324014	48.32666989	46.1472654	56.51275856
ENSG00000099308	231.6491272	227.8690547	359.3091541	205.7029937	430.8519849	66.69483703	87.64303525	46.68847769	81.49410699	61.98173519
ENSG00000101306	7280.40114	12419.3744	18562.34286	15761.17002	5540.714897	5723.62965	5659.388678	4172.475532	7250.029952	2933.194468
ENSG00000101695	24.38411865	19.4148522	24.54297501	8.453547688	21.85481083	47.74744014	59.85378017	40.13570889	42.21983856	32.81385981
ENSG00000155158	39.18876212	65.39739688	58.90314002	47.9034369	68.68654831	16.67370926	26.72043757	23.75378689	23.56456106	23.69889875
ENSG00000166592	1452.596782	3607.075171	3396.747741	1045.422064	1461.15021	1324.80199	1125.464831	1168.850134	968.1107168	736.4888535
ENSG00000229729	15.67550485	26.56769248	26.50641301	16.90709538	38.50609526	6.821062878	5.344087515	10.6482493	11.78228053	5.468976635
ENSG00000143994	68.79804905	41.89520737	72.64720603	73.26407997	20.81410555	110.6527978	110.0882028	150.7136824	175.7523512	109.3795327
